pair_id	role	protein_x	protein_y	ac_id	triplet_id	anchor	assembly_size_stratum	structure_grade_provisional	counterfactual_grade_provisional	sequence_similarity_bin	positive_source	positive_interface_status	orientation
SP:0001449	ac_negative	Q9GZZ1	Q9NX55	AC:001449			3_10	Structure-A-provisional					
SP:0001450	ac_negative	P87306	Q9Y7N2	AC:001450			11_24	Structure-A-provisional					
SP:0001451	ac_negative	A0A0F6NGI2	Q9SQL2	AC:001451			11_24	Structure-A-provisional					
SP:0001452	ac_negative	O32231	P21467	AC:001452			11_24	Structure-B-provisional					
SP:0001453	ac_negative	Q9BQ15	Q9NVH2	AC:001453			11_24	Structure-A-provisional					
SP:0001454	ac_negative	P61161	Q9CVB6	AC:001454			11_24	Structure-B-provisional					
SP:0001455	ac_negative	Q9TLR0	Q9TM22	AC:001455			11_24	Structure-B-provisional					
SP:0001456	ac_negative	P12154	Q75VY8	AC:001456			11_24	Structure-A-provisional					
SP:0001457	ac_negative	P39656	P61165	AC:001457			3_10	Structure-A-provisional					
SP:0001458	ac_negative	A0QU31	A0QU33	AC:001458			11_24	Structure-A-provisional					
SP:0001459	ac_negative	F5HCP3	Q6SW67	AC:001459			3_10	Structure-A-provisional					
SP:0001460	ac_negative	P10176	P14406	AC:001460			11_24	Structure-A-provisional					
SP:0001461	ac_negative	Q949Q5	Q9S7N7	AC:001461			11_24	Structure-A-provisional					
SP:0001462	ac_negative	A3M140	A3M145	AC:001462			11_24	Structure-B-provisional					
SP:0001463	ac_negative	I7MCM8	Q22A67	AC:001463			11_24	Structure-A-provisional					
SP:0001464	ac_negative	Q9TM22	Q9TM23	AC:001464			11_24	Structure-A-provisional					
SP:0001465	ac_negative	P20637	P68315	AC:001465			11_24	Structure-A-provisional					
SP:0001466	ac_negative	O94376	Q9P6Q0	AC:001466			11_24	Structure-A-provisional					
SP:0001467	ac_negative	P13165	P13194	AC:001467			11_24	Structure-A-provisional					
SP:0001468	ac_negative	P36161	Q04491	AC:001468			11_24	Structure-A-provisional					
SP:0001469	ac_negative	A0QS96	A0QSG6	AC:001469			11_24	Structure-B-provisional					
SP:0001470	ac_negative	B6A878	B6A882	AC:001470			11_24	Structure-A-provisional					
SP:0001471	ac_negative	O31742	O31743	AC:001471			11_24	Structure-A-provisional					
SP:0001472	ac_negative	Q13617	Q99627	AC:001472			11_24	Structure-A-provisional					
SP:0001473	ac_negative	O14198	Q9USH1	AC:001473			11_24	Structure-A-provisional					
SP:0001474	ac_negative	O82504	Q9FLM8	AC:001474			11_24	Structure-A-provisional					
SP:0001475	ac_negative	P51955	Q9BS18	AC:001475			11_24	Structure-A-provisional					
SP:0001476	ac_negative	O31718	P39075	AC:001476			3_10	Structure-B-provisional					
SP:0001477	ac_negative	I7LX66	Q24I09	AC:001477			11_24	Structure-A-provisional					
SP:0001478	ac_negative	Q32P79	Q32PE0	AC:001478			11_24	Structure-A-provisional					
SP:0001479	ac_negative	S7UR33	S7VSS5	AC:001479			11_24	Structure-A-provisional					
SP:0001480	ac_negative	P46737	Q3UI43	AC:001480			3_10	Structure-A-provisional					
SP:0001481	ac_negative	Q9VQY9	Q9XYU0	AC:001481			11_24	Structure-A-provisional					
SP:0001482	ac_negative	P46678	P47076	AC:001482			11_24	Structure-A-provisional					
SP:0001483	ac_negative	P17987	P61758	AC:001483			11_24	Structure-A-provisional					
SP:0001484	ac_negative	Q8DJ01	Q8DLL4	AC:001484			11_24	Structure-B-provisional					
SP:0001485	ac_negative	A0QU23	A0QU35	AC:001485			11_24	Structure-A-provisional					
SP:0001486	ac_negative	Q9W2V7	Q9XYU0	AC:001486			11_24	Structure-B-provisional					
SP:0001487	ac_negative	A0A1S3ZQT7	A0A1S4CE74	AC:001487			11_24	Structure-A-provisional					
SP:0001488	ac_negative	A0A4V8GZZ8	A0A4V8H000	AC:001488			11_24	Structure-A-provisional					
SP:0001489	ac_negative	A0A1G4KPQ9	F2QT92	AC:001489			3_10	Structure-A-provisional					
SP:0001490	ac_negative	A4VD15	Q24CL2	AC:001490			11_24	Structure-A-provisional					
SP:0001491	ac_negative	A0A1D8NEL0	A0A1D8NGI5	AC:001491			11_24	Structure-A-provisional					
SP:0001492	ac_negative	O82504	Q38859	AC:001492			11_24	Structure-A-provisional					
SP:0001493	ac_negative	E3UIU5	M2XWX3	AC:001493			11_24	Structure-A-provisional					
SP:0001494	ac_negative	P12875	P50743	AC:001494			11_24	Structure-A-provisional					
SP:0001495	ac_negative	O97302	Q8IFM5	AC:001495			3_10	Structure-A-provisional					
SP:0001496	ac_negative	A0QSG3	A0R102	AC:001496			11_24	Structure-B-provisional					
SP:0001497	ac_negative	I0YQ46	I0Z7A6	AC:001497			11_24	Structure-A-provisional					
SP:0001498	ac_negative	P09119	P47112	AC:001498			11_24	Structure-B-provisional					
SP:0001499	ac_negative	A0A4V8GZZ5	A0A4V8H007	AC:001499			11_24	Structure-A-provisional					
SP:0001500	ac_negative	A0QNR6	A0QWR2	AC:001500			11_24	Structure-B-provisional					
SP:0001501	ac_negative	A0A0G4HMN0	A0A0G4HNB1	AC:001501			11_24	Structure-B-provisional					
SP:0001502	ac_negative	Q9C639	Q9S7N7	AC:001502			11_24	Structure-A-provisional					
SP:0001503	ac_negative	P38931	P39073	AC:001503			3_10	Structure-A-provisional					
SP:0001504	ac_negative	Q6DBA5	Q9LQ02	AC:001504			11_24	Structure-A-provisional					
SP:0001505	ac_negative	P62010	Q9V1U8	AC:001505			11_24	Structure-B-provisional					
SP:0001506	ac_negative	Q8WV22	Q96MF7	AC:001506			3_10	Structure-A-provisional					
SP:0001507	ac_negative	A8HUP3	A8ISA4	AC:001507			11_24	Structure-A-provisional					
SP:0001508	ac_negative	P80372	P80376	AC:001508			11_24	Structure-B-provisional					
SP:0001509	ac_negative	A0A287BJQ2	F1SJP6	AC:001509			11_24	Structure-A-provisional					
SP:0001510	ac_negative	P30153	Q5VSL9	AC:001510			3_10	Structure-A-provisional					
SP:0001511	ac_negative	Q9SA56	Q9SUI5	AC:001511			11_24	Structure-A-provisional					
SP:0001512	ac_negative	M1UU36	Q85FP8	AC:001512			11_24	Structure-B-provisional					
SP:0001513	ac_negative	Q6GMX4	Q8TCD0	AC:001513			11_24	Structure-A-provisional					
SP:0001514	ac_negative	P0A8T7	P0A9G4	AC:001514			3_10	Structure-A-provisional					
SP:0001515	ac_negative	O14352	Q9Y7M4	AC:001515			3_10	Structure-B-provisional					
SP:0001516	ac_negative	A0A2K3CXW8	A8J353	AC:001516			11_24	Structure-B-provisional					
SP:0001517	ac_negative	H6LC29	H6LC32	AC:001517			3_10	Structure-A-provisional					
SP:0001518	ac_negative	P87306	P87310	AC:001518			11_24	Structure-A-provisional					
SP:0001519	ac_negative	Q32L40	Q3MHL7	AC:001519			11_24	Structure-A-provisional					
SP:0001520	ac_negative	P38874	P42935	AC:001520			3_10	Structure-A-provisional					
SP:0001521	ac_negative	P02612	P68139	AC:001521			3_10	Structure-A-provisional					
SP:0001522	ac_negative	Q9FJ98	Q9M1A8	AC:001522			11_24	Structure-B-provisional					
SP:0001523	ac_negative	P48114	P48116	AC:001523			11_24	Structure-A-provisional					
SP:0001524	ac_negative	A8IL32	Q75VZ0	AC:001524			11_24	Structure-B-provisional					
SP:0001525	ac_negative	Q2FW06	Q2FW07	AC:001525			11_24	Structure-B-provisional					
SP:0001526	ac_negative	P49368	Q9NQP4	AC:001526			11_24	Structure-B-provisional					
SP:0001527	ac_negative	P39463	Q4JB12	AC:001527			11_24	Structure-A-provisional					
SP:0001528	ac_negative	B8YB62	B8YB63	AC:001528			11_24	Structure-A-provisional					
SP:0001529	ac_negative	Q12834	Q9UJX3	AC:001529			11_24	Structure-A-provisional					
SP:0001530	ac_negative	A0A0M3KL10	A0A0M3KL11	AC:001530			11_24	Structure-A-provisional					
SP:0001531	ac_negative	A0AA82WNX9	A0AAB0B1V7	AC:001531			3_10	Structure-B-provisional					
SP:0001532	ac_negative	Q00914	Q84Y02	AC:001532			11_24	Structure-B-provisional					
SP:0001533	ac_negative	A0A4V8GZZ4	A0A4V8GZZ7	AC:001533			11_24	Structure-A-provisional					
SP:0001534	ac_negative	A8J353	A8J3C3	AC:001534			11_24	Structure-B-provisional					
SP:0001535	ac_negative	B6TR16	O65101	AC:001535			11_24	Structure-B-provisional					
SP:0001536	ac_negative	P0DOY9	Q5SLQ0	AC:001536			11_24	Structure-B-provisional					
SP:0001537	ac_negative	Q4JQT4	Q4JQU1	AC:001537			11_24	Structure-A-provisional					
SP:0001538	ac_negative	C3SR52	W8T6F0	AC:001538			11_24	Structure-B-provisional					
SP:0001539	ac_negative	P10606	P14854	AC:001539			11_24	Structure-A-provisional					
SP:0001540	ac_negative	E1C9L1	E1C9L2	AC:001540			11_24	Structure-B-provisional					
SP:0001541	ac_negative	Q2G113	Q2G2Q4	AC:001541			11_24	Structure-B-provisional					
SP:0001542	ac_negative	E3UIU5	M2XR49	AC:001542			11_24	Structure-A-provisional					
SP:0001543	ac_negative	P9WGU5	P9WQJ5	AC:001543			3_10	Structure-A-provisional					
SP:0001544	ac_negative	Q9RXJ1	Q9RXK0	AC:001544			3_10	Structure-B-provisional					
SP:0001545	ac_negative	A0AAN0Y0R4	A0AAN0Y3T9	AC:001545			11_24	Structure-B-provisional					
SP:0001546	ac_negative	E1C9L2	P10793	AC:001546			11_24	Structure-B-provisional					
SP:0001547	ac_negative	A0ACD6B939	A0ACD6B943	AC:001547			3_10	Structure-A-provisional					
SP:0001548	ac_negative	P0A7Z4	P0A9G4	AC:001548			3_10	Structure-A-provisional					
SP:0001549	ac_negative	Q8A0S2	Q8A1D9	AC:001549			3_10	Structure-A-provisional					
SP:0001550	ac_negative	A0A2K3CXW8	A8IS47	AC:001550			11_24	Structure-B-provisional					
SP:0001551	ac_negative	A0QSE0	A0QSL7	AC:001551			11_24	Structure-B-provisional					
SP:0001552	ac_negative	C1K004	D0FXZ0	AC:001552			11_24	Structure-A-provisional					
SP:0001553	ac_negative	P14794	Q54G86	AC:001553			3_10	Structure-B-provisional					
SP:0001554	ac_negative	I4BYB3	I4BYB8	AC:001554			3_10	Structure-A-provisional					
SP:0001555	ac_negative	P53290	Q3E830	AC:001555			3_10	Structure-A-provisional					
SP:0001556	ac_negative	Q57ZP0	Q586H1	AC:001556			11_24	Structure-B-provisional					
SP:0001557	ac_negative	P38801	Q08162	AC:001557			11_24	Structure-B-provisional					
SP:0001558	ac_negative	P20248	Q13309	AC:001558			3_10	Structure-A-provisional					
SP:0001559	ac_negative	O81097	Q9LK40	AC:001559			11_24	Structure-A-provisional					
SP:0001560	ac_negative	A0A5S8WF89	A0A5S8WF91	AC:001560			3_10	Structure-A-provisional					
SP:0001561	ac_negative	Q2FW11	Q2FW21	AC:001561			11_24	Structure-B-provisional					
SP:0001562	ac_negative	O94742	Q12049	AC:001562			3_10	Structure-B-provisional					
SP:0001563	ac_negative	P30394	P31556	AC:001563			11_24	Structure-A-provisional					
SP:0001564	ac_negative	P38801	P48240	AC:001564			11_24	Structure-A-provisional					
SP:0001565	ac_negative	I7LT80	I7MDA9	AC:001565			11_24	Structure-B-provisional					
SP:0001566	ac_negative	A0QSG2	A0QZ86	AC:001566			11_24	Structure-B-provisional					
SP:0001567	ac_negative	C4QY79	C4R3P8	AC:001567			11_24	Structure-A-provisional					
SP:0001568	ac_negative	O81097	Q9M1J2	AC:001568			11_24	Structure-A-provisional					
SP:0001569	ac_negative	P39682	Q00916	AC:001569			11_24	Structure-A-provisional					
SP:0001570	ac_negative	A0A0D9RB67	A0A0D9RML3	AC:001570			11_24	Structure-B-provisional					
SP:0001571	ac_negative	P00044	P07257	AC:001571			11_24	Structure-B-provisional					
SP:0001572	ac_negative	A6QRA1	Q6NLH0	AC:001572			11_24	Structure-A-provisional					
SP:0001573	ac_negative	Q99871	Q9H6D7	AC:001573			3_10	Structure-B-provisional					
SP:0001574	ac_negative	P33448	P50110	AC:001574			3_10	Structure-A-provisional					
SP:0001575	ac_negative	I7LWE3	Q24C31	AC:001575			11_24	Structure-A-provisional					
SP:0001576	ac_negative	A0A2K3DLI2	A8HUP3	AC:001576			11_24	Structure-A-provisional					
SP:0001577	ac_negative	P46977	P51571	AC:001577			11_24	Structure-B-provisional					
SP:0001578	ac_negative	P87108	Q08749	AC:001578			3_10	Structure-A-provisional					
SP:0001579	ac_negative	Q4JQU1	Q4JQV5	AC:001579			11_24	Structure-A-provisional					
SP:0001580	ac_negative	A0A2K1IB10	A0A2K1IKE2	AC:001580			11_24	Structure-A-provisional					
SP:0001581	ac_negative	O53830	P9WGY5	AC:001581			11_24	Structure-A-provisional					
SP:0001582	ac_negative	A0A379PL53	A0A379PL92	AC:001582			3_10	Structure-B-provisional					
SP:0001583	ac_negative	A0A2L1C9H0	A0A2L1CAX0	AC:001583			11_24	Structure-A-provisional					
SP:0001584	ac_negative	I0YQ45	I0Z7A6	AC:001584			11_24	Structure-A-provisional					
SP:0001585	ac_negative	A0A2K3DHV6	Q6UKY5	AC:001585			11_24	Structure-A-provisional					
SP:0001586	ac_negative	F2RBH1	F2RGQ4	AC:001586			3_10	Structure-A-provisional					
SP:0001587	ac_negative	Q5SJG6	Q8RQE7	AC:001587			3_10	Structure-A-provisional					
SP:0001588	ac_negative	Q8DJ43	Q8DLJ8	AC:001588			11_24	Structure-A-provisional					
SP:0001589	ac_negative	A0A6S8PC30	A0A7S3R9S7	AC:001589			11_24	Structure-A-provisional					
SP:0001590	ac_negative	P61163	Q9UJW0	AC:001590			11_24	Structure-A-provisional					
SP:0001591	ac_negative	A0A1K1NXL9	A0A1K1NY43	AC:001591			3_10	Structure-A-provisional					
SP:0001592	ac_negative	A0A2K3DWM2	P59763	AC:001592			11_24	Structure-B-provisional					
SP:0001593	ac_negative	P43034	P63167	AC:001593			11_24	Structure-A-provisional					
SP:0001594	ac_negative	G0S8E0	G0SH09	AC:001594			11_24	Structure-B-provisional					
SP:0001595	ac_negative	A1B494	A1B495	AC:001595			11_24	Structure-A-provisional					
SP:0001596	ac_negative	P26288	Q94AQ8	AC:001596			11_24	Structure-A-provisional					
SP:0001597	ac_negative	A7NJ87	A7NJ92	AC:001597			3_10	Structure-A-provisional					
SP:0001598	ac_negative	A0A4V8GZZ2	A0A4V8GZZ9	AC:001598			11_24	Structure-A-provisional					
SP:0001599	ac_negative	Q8DJ02	Q8DLL4	AC:001599			11_24	Structure-B-provisional					
SP:0001600	ac_negative	A0A7U3Y808	B7IA15	AC:001600			11_24	Structure-B-provisional					
SP:0001601	ac_negative	O43402	Q5JPE7	AC:001601			11_24	Structure-A-provisional					
SP:0001602	ac_negative	Q39212	Q6NLH0	AC:001602			11_24	Structure-A-provisional					
SP:0001603	ac_negative	Q8N140	Q96MF7	AC:001603			3_10	Structure-A-provisional					
SP:0001604	ac_negative	O60826	Q9UBQ0	AC:001604			3_10	Structure-A-provisional					
SP:0001605	ac_negative	P0A3C9	Q8DJU2	AC:001605			11_24	Structure-A-provisional					
SP:0001606	ac_negative	P41208	Q13888	AC:001606			3_10	Structure-A-provisional					
SP:0001607	ac_negative	O14352	O94408	AC:001607			3_10	Structure-B-provisional					
SP:0001608	ac_negative	P00045	P08525	AC:001608			11_24	Structure-A-provisional					
SP:0001609	ac_negative	Q8LFJ6	Q9FJ98	AC:001609			11_24	Structure-B-provisional					
SP:0001610	ac_negative	A0A2K1IKE2	A9SL09	AC:001610			11_24	Structure-A-provisional					
SP:0001611	ac_negative	P93313	Q8LGE7	AC:001611			11_24	Structure-A-provisional					
SP:0001612	ac_negative	P33767	Q92316	AC:001612			3_10	Structure-B-provisional					
SP:0001613	ac_negative	O64725	Q9FGK0	AC:001613			11_24	Structure-A-provisional					
SP:0001614	ac_negative	Q9LD28	Q9XFH4	AC:001614			3_10	Structure-A-provisional					
SP:0001615	ac_negative	Q9C567	Q9SAJ3	AC:001615			11_24	Structure-A-provisional					
SP:0001616	ac_negative	P37871	P39075	AC:001616			3_10	Structure-B-provisional					
SP:0001617	ac_negative	P32481	P32502	AC:001617			11_24	Structure-A-provisional					
SP:0001618	ac_negative	Q969U7	Q9BT73	AC:001618			11_24	Structure-A-provisional					
SP:0001619	ac_negative	Q6A6L4	Q6A6M5	AC:001619			3_10	Structure-B-provisional					
SP:0001620	ac_negative	A0A2P6TPR7	W8SY74	AC:001620			11_24	Structure-B-provisional					
SP:0001621	ac_negative	E1C9L0	Q32904	AC:001621			11_24	Structure-A-provisional					
SP:0001622	ac_negative	A0A1S3TUX2	A0A1S3TZB2	AC:001622			3_10	Structure-A-provisional					
SP:0001623	ac_negative	P21471	P21477	AC:001623			11_24	Structure-B-provisional					
SP:0001624	ac_negative	P30260	Q9UKT4	AC:001624			11_24	Structure-B-provisional					
SP:0001625	ac_negative	G0S755	G0SE33	AC:001625			3_10	Structure-A-provisional					
SP:0001626	ac_negative	E3UIU2	E3UIU6	AC:001626			11_24	Structure-A-provisional					
SP:0001627	ac_negative	A0A2K1J0L9	Q6YXR3	AC:001627			11_24	Structure-A-provisional					
SP:0001628	ac_negative	Q9V0V6	Q9V109	AC:001628			11_24	Structure-B-provisional					
SP:0001629	ac_negative	O95376	Q15843	AC:001629			3_10	Structure-A-provisional					
SP:0001630	ac_negative	O60925	Q99832	AC:001630			11_24	Structure-A-provisional					
SP:0001631	ac_negative	E1C9K6	P16002	AC:001631			11_24	Structure-A-provisional					
SP:0001632	ac_negative	Q6D0W5	Q6D0W8	AC:001632			3_10	Structure-B-provisional					
SP:0001633	ac_negative	Q9FLM8	Q9LQ02	AC:001633			11_24	Structure-A-provisional					
SP:0001634	ac_negative	A0ACD6B9M2	A0ACD6B9M4	AC:001634			3_10	Structure-B-provisional					
SP:0001635	ac_negative	A0T0V1	B5YM25	AC:001635			11_24	Structure-A-provisional					
SP:0001636	ac_negative	A0A1B2U0C6	A0A1B2U0I9	AC:001636			11_24	Structure-B-provisional					
SP:0001637	ac_negative	E1C9K7	E1C9L0	AC:001637			11_24	Structure-A-provisional					
SP:0001638	ac_negative	F2RCK7	F2RJV9	AC:001638			3_10	Structure-A-provisional					
SP:0001639	ac_negative	Q9VFB5	Q9VNZ3	AC:001639			11_24	Structure-A-provisional					
SP:0001640	ac_negative	Q9LK40	Q9M1J2	AC:001640			11_24	Structure-A-provisional					
SP:0001641	ac_negative	P42285	Q9Y2L1	AC:001641			11_24	Structure-B-provisional					
SP:0001642	ac_negative	Q96N11	Q9NV88	AC:001642			11_24	Structure-B-provisional					
SP:0001643	ac_negative	P12824	P16750	AC:001643			3_10	Structure-B-provisional					
SP:0001644	ac_negative	A0A1C8XRM6	D0FXX2	AC:001644			11_24	Structure-B-provisional					
SP:0001645	ac_negative	G0RZX8	P0CT46	AC:001645			3_10	Structure-A-provisional					
SP:0001646	ac_negative	P32876	Q00361	AC:001646			11_24	Structure-A-provisional					
SP:0001647	ac_negative	Q32PE0	Q3ZBC0	AC:001647			11_24	Structure-B-provisional					
SP:0001648	ac_negative	P20429	P39075	AC:001648			3_10	Structure-B-provisional					
SP:0001649	ac_negative	C4M5B7	O15612	AC:001649			11_24	Structure-B-provisional					
SP:0001650	ac_negative	A8MPR5	Q9LTI0	AC:001650			11_24	Structure-A-provisional					
SP:0001651	ac_negative	Q9BT78	Q9UBF6	AC:001651			11_24	Structure-B-provisional					
SP:0001652	ac_negative	P14854	P15954	AC:001652			11_24	Structure-A-provisional					
SP:0001653	ac_negative	Q9UY20	Q9UZL4	AC:001653			11_24	Structure-B-provisional					
SP:0001654	ac_negative	A0A3Q7HBR5	A0A3Q7IVL4	AC:001654			11_24	Structure-B-provisional					
SP:0001655	ac_negative	O75140	Q9Y2Q5	AC:001655			3_10	Structure-A-provisional					
SP:0001656	ac_negative	P32613	Q03630	AC:001656			11_24	Structure-A-provisional					
SP:0001657	ac_negative	O19882	Q9TLR0	AC:001657			11_24	Structure-A-provisional					
SP:0001658	ac_negative	A0A3Q7I881	P49215	AC:001658			11_24	Structure-A-provisional					
SP:0001659	ac_negative	P43307	P46977	AC:001659			11_24	Structure-B-provisional					
SP:0001660	ac_negative	O74825	Q92399	AC:001660			11_24	Structure-A-provisional					
SP:0001661	ac_negative	Q75VZ0	Q84Y02	AC:001661			11_24	Structure-B-provisional					
SP:0001662	ac_negative	A0A069QC99	A0A140S919	AC:001662			11_24	Structure-B-provisional					
SP:0001663	ac_negative	Q12308	Q12415	AC:001663			3_10	Structure-A-provisional					
SP:0001664	ac_negative	P51149	Q96DM3	AC:001664			3_10	Structure-A-provisional					
SP:0001665	ac_negative	A5F9W9	A5FJM7	AC:001665			3_10	Structure-A-provisional					
SP:0001666	ac_negative	P36873	P55072	AC:001666			11_24	Structure-B-provisional					
SP:0001667	ac_negative	Q9Y265	Q9Y4R8	AC:001667			3_10	Structure-B-provisional					
SP:0001668	ac_negative	P56751	Q9FG89	AC:001668			11_24	Structure-A-provisional					
SP:0001669	ac_negative	P40227	P61758	AC:001669			11_24	Structure-A-provisional					
SP:0001670	ac_negative	B8YB58	B8YB59	AC:001670			11_24	Structure-B-provisional					
SP:0001671	ac_negative	Q9UZL4	Q9V1V0	AC:001671			11_24	Structure-B-provisional					
SP:0001672	ac_negative	P29056	P35718	AC:001672			11_24	Structure-B-provisional					
SP:0001673	ac_negative	P0A800	P0AFW0	AC:001673			3_10	Structure-A-provisional					
SP:0001674	ac_negative	P27694	Q13888	AC:001674			11_24	Structure-B-provisional					
SP:0001675	ac_negative	A0A2K1JLZ3	Q6YXM2	AC:001675			11_24	Structure-B-provisional					
SP:0001676	ac_negative	P28778	P48237	AC:001676			11_24	Structure-A-provisional					
SP:0001677	ac_negative	A6QRA1	Q39212	AC:001677			11_24	Structure-A-provisional					
SP:0001678	ac_negative	P20504	P68449	AC:001678			11_24	Structure-A-provisional					
SP:0001679	ac_negative	Q83E83	Q83EQ9	AC:001679			11_24	Structure-A-provisional					
SP:0001680	ac_negative	P30153	Q9Y570	AC:001680			3_10	Structure-A-provisional					
SP:0001681	ac_negative	Q96HW7	Q96SY0	AC:001681			11_24	Structure-A-provisional					
SP:0001682	ac_negative	A0T0V1	B8BUW3	AC:001682			11_24	Structure-A-provisional					
SP:0001683	ac_negative	E3UIU5	M2Y652	AC:001683			11_24	Structure-B-provisional					
SP:0001684	ac_negative	A0A2P6THB2	A0A2P6U4S6	AC:001684			11_24	Structure-A-provisional					
SP:0001685	ac_negative	A0A1B2U0I9	A0A1M6QGN9	AC:001685			11_24	Structure-A-provisional					
SP:0001686	ac_negative	A0A0H2UKZ4	E1C9K9	AC:001686			11_24	Structure-A-provisional					
SP:0001687	ac_negative	A0A4V8GZZ3	A0A4V8H002	AC:001687			11_24	Structure-B-provisional					
SP:0001688	ac_negative	P43308	P60059	AC:001688			11_24	Structure-B-provisional					
SP:0001689	ac_negative	P24361	P68623	AC:001689			11_24	Structure-A-provisional					
SP:0001690	ac_negative	E1C9L3	P17227	AC:001690			11_24	Structure-A-provisional					
SP:0001691	ac_negative	D5MAL3	E1C9K9	AC:001691			11_24	Structure-B-provisional					
SP:0001692	ac_negative	E3UIU2	E3UIU9	AC:001692			11_24	Structure-A-provisional					
SP:0001693	ac_negative	Q96HW7	Q9NVM9	AC:001693			11_24	Structure-A-provisional					
SP:0001694	ac_negative	A0A7U3Y808	B7IBC2	AC:001694			11_24	Structure-B-provisional					
SP:0001695	ac_negative	C3SQS2	C3TRH7	AC:001695			11_24	Structure-A-provisional					
SP:0001696	ac_negative	T1RJW8	T1RJY1	AC:001696			11_24	Structure-A-provisional					
SP:0001697	ac_negative	A6QRA1	Q9M1J2	AC:001697			11_24	Structure-A-provisional					
SP:0001698	ac_negative	Q85FP8	Q85FS9	AC:001698			11_24	Structure-A-provisional					
SP:0001699	ac_negative	O35011	P20429	AC:001699			3_10	Structure-A-provisional					
SP:0001700	ac_negative	E1C9L3	P05311	AC:001700			11_24	Structure-A-provisional					
SP:0001701	ac_negative	P14854	P20674	AC:001701			11_24	Structure-A-provisional					
SP:0001702	ac_negative	Q9VFB5	Q9VJE4	AC:001702			11_24	Structure-A-provisional					
SP:0001703	ac_negative	P56768	Q9SUI5	AC:001703			11_24	Structure-A-provisional					
SP:0001704	ac_negative	A0A3Q7FTS1	A0A3Q7JYM3	AC:001704			11_24	Structure-A-provisional					
SP:0001705	ac_negative	A0A2K1JDE1	Q6YXK4	AC:001705			11_24	Structure-A-provisional					
SP:0001706	ac_negative	Q9C567	Q9LTI0	AC:001706			11_24	Structure-A-provisional					
SP:0001707	ac_negative	A0A2K9VK93	A0A2K9VK99	AC:001707			11_24	Structure-A-provisional					
SP:0001708	ac_negative	Q93077	Q9Y230	AC:001708			11_24	Structure-A-provisional					
SP:0001709	ac_negative	Q9NQT4	Q9Y2L1	AC:001709			11_24	Structure-B-provisional					
SP:0001710	ac_negative	C6Y4A8	O74544	AC:001710			3_10	Structure-A-provisional					
SP:0001711	ac_negative	O57204	Q76ZS0	AC:001711			3_10	Structure-A-provisional					
SP:0001712	ac_negative	P07839	Q75VY7	AC:001712			11_24	Structure-A-provisional					
SP:0001713	ac_negative	A0A1Z3HRW4	A0A1Z3HSF0	AC:001713			11_24	Structure-B-provisional					
SP:0001714	ac_negative	Q96MG8	Q9UBF6	AC:001714			3_10	Structure-A-provisional					
SP:0001715	ac_negative	P52657	Q15545	AC:001715			11_24	Structure-A-provisional					
SP:0001716	ac_negative	Q2T9T3	Q5E9B8	AC:001716			11_24	Structure-A-provisional					
SP:0001717	ac_negative	A0A4V8GZZ8	A0A4V8H003	AC:001717			11_24	Structure-A-provisional					
SP:0001718	ac_negative	A0A2P6TZ50	A0A2P6U4K1	AC:001718			11_24	Structure-B-provisional					
SP:0001719	ac_negative	I7MHB1	Q22A67	AC:001719			11_24	Structure-A-provisional					
SP:0001720	ac_negative	O19882	Q9TM22	AC:001720			11_24	Structure-A-provisional					
SP:0001721	ac_negative	P32366	P41806	AC:001721			11_24	Structure-B-provisional					
SP:0001722	ac_negative	P12154	Q75VY7	AC:001722			11_24	Structure-A-provisional					
SP:0001723	ac_negative	P00166	P00289	AC:001723			11_24	Structure-A-provisional					
SP:0001724	ac_negative	P03928	P05496	AC:001724			11_24	Structure-A-provisional					
SP:0001725	ac_negative	P20986	P68608	AC:001725			11_24	Structure-A-provisional					
SP:0001726	ac_negative	Q86WV5	Q9NUX5	AC:001726			3_10	Structure-A-provisional					
SP:0001727	ac_negative	G2TRP5	O74471	AC:001727			11_24	Structure-B-provisional					
SP:0001728	ac_negative	A0A2K1JLZ3	Q6YXQ2	AC:001728			11_24	Structure-B-provisional					
SP:0001729	ac_negative	B6SZT9	O65101	AC:001729			11_24	Structure-B-provisional					
SP:0001730	ac_negative	P62877	Q8N140	AC:001730			3_10	Structure-B-provisional					
SP:0001731	ac_negative	P02293	Q12509	AC:001731			11_24	Structure-A-provisional					
SP:0001732	ac_negative	A0QS96	A0R550	AC:001732			11_24	Structure-B-provisional					
SP:0001733	ac_negative	A0A2K3DWM2	P37256	AC:001733			11_24	Structure-B-provisional					
SP:0001734	ac_negative	P12074	P15954	AC:001734			11_24	Structure-A-provisional					
SP:0001735	ac_negative	A0A2K1IB10	A0A2K1KN29	AC:001735			11_24	Structure-A-provisional					
SP:0001736	ac_negative	D0VX28	D0VX31	AC:001736			11_24	Structure-A-provisional					
SP:0001737	ac_negative	A0A0H2UKZ4	E1C9K8	AC:001737			11_24	Structure-A-provisional					
SP:0001738	ac_negative	Q8CJT1	Q9L0Q9	AC:001738			11_24	Structure-A-provisional					
SP:0001739	ac_negative	Q6NLH0	Q9FLM8	AC:001739			11_24	Structure-A-provisional					
SP:0001740	ac_negative	P04439	P07766	AC:001740			11_24	Structure-A-provisional					
SP:0001741	ac_negative	Q8GWD7	Q94K14	AC:001741			3_10	Structure-A-provisional					
