sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
37	ALDH1A1	11668	10090	p35	12569	10090	no_binding	pull_down	unknown	Each experiment was repeated at least three independent times. h ALDH1A1 does not bind with p35 or p25 directly.	ALDH1A1 was immunoprecipitated from either control or glutamate-treated HT22 cells (for 0-6 h), and the association of ALDH1A1 and p35/p25 was analyzed.	ALDH1A1 and p35 or p25 association was analyzed using recombinant p35, p25, and ALDH1A1 in an in vitro pull-down assay.	29948941	PMC6368892	Multifaceted Regulation of ALDH1A1 by Cdk5 in Alzheimer's Disease Pathogenesis	CLAIM:000029910:0-1	PAIR2:GENE:11668|GENE:12569	CLAIM:000029910	5718781a68e4376a14572e48cf06bdc2981153bb	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	158.0	other_direct_binding	P24549	P61809	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	501	307	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	811	1	0	0	0	PN6:0037:negative	5.1e-05
39	HD5	1670	9606	HLA-B27	3106	9606	no_binding	SPR	SPR	Immobilized free-heavy chains (D) or HLA-B27 heterotrimers (E) did not interact with HD5 and Kd values were not fitted.	C) HD5 and ligand (B272) have a Kd of 0.32 nM.	(F) Blocking competition experiments in SPR were performed by immobilizing B272 to a streptavidin chip followed by injection of HD5 to form B272-HD5 complexes.	26125554	PMC4488392	HLA-B27-Homodimer-Specific Antibody Modulates the Expansion of Pro-Inflammatory T-Cells in HLA-B27 Transgenic Rats	CLAIM:000264167:0-1	PAIR2:GENE:1670|GENE:3106	CLAIM:000264167	341f0a988ff1e25205ba69f9eabb3a15cddec6dc	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	negative_control	1	1	none_detected	0	0	0	0	0	0	151.0	biophysical_direct	Q01523	P01889	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	94	362	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	459	1	1	0	0	PN6:0039:negative	0.016229
45	extracellular domains of human HFE	3077	9606	TFR2	7036	9606	no_binding	SPR	co-immunoprecipitation	We find no detectable binding between TfR2 and HFE by co-immunoprecipitation or using a surface plasmon resonance-based assay.	To investigate the relationship between TfR, TfR2, Tf, and HFE, we performed a series of binding experiments using soluble forms of these proteins.	The affinity of TfR2 for iron-loaded Tf was determined to be 27 nm, 25-fold lower than the affinity of TfR for Tf.	11027676		Comparison of the interactions of transferrin receptor and transferrin receptor 2 with transferrin and the hereditary hemochromatosis protein HFE.	CLAIM:000343450:0-1	PAIR2:GENE:3077|GENE:7036	CLAIM:000343450	721f4bcb8b3d33902fd14dd4616d322450647df0	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	143.0	biophysical_direct	Q30201	Q9UP52	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	348	801	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1152	0	1	0	0	PN6:0045:negative	0.000668
47	Programmed Death-1	18566	10090	SEB	26040	9606	no_binding	SPR	SPR	By contrast, soluble costimulatory receptor Programmed Death-1 (PD-1) failed to bind SEB (Figure 3D).	Thus, SEB binds CD28 with similar affinity as TCR and MHC-II.		21931534	PMC3172200	Binding of Superantigen Toxins into the CD28 Homodimer Interface Is Essential for Induction of Cytokine Genes That Mediate Lethal Shock	CLAIM:000297463:0-1	PAIR2:GENE:18566|GENE:26040	CLAIM:000297463	42481ff96f3967a0f293c7a0d00ede82b29865d3	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	143.0	biophysical_direct	Q02242	Q9Y6X0	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	288	1596	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1887	0	0	0	0	PN6:0047:negative	5.1e-05
52	RhoC	389	9606	Pak6	56924	9606	no_binding	pull_down	pull-down	Furthermore, our pull-down assays demonstrate that Pak6 does not interact with RhoC.	However, RhoC does not have an equivalent serine residue between its polybasic region and CAAX motif, so is unlikely to be regulated by this mechanism.	Given this finding it may be that, as with Rac-mediated inhibition of RhoA, Pak6 suppresses the activity of RhoC by phosphorylating one or more RhoGEF.	28486133	PMC5425256	RhoD Inhibits RhoC-ROCK-Dependent Cell Contraction via PAK6	CLAIM:000199900:0-1	PAIR2:GENE:389|GENE:56924	CLAIM:000199900	775d53655484d9e6cb279f132401e694ccaae251	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	141.0	other_direct_binding	P08134	Q9NQU5	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	193	681	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	877	1	1	0	0	PN6:0052:negative	0.111728
54	glyceraldehyde 3-phosphate dehydrogenase	2597	9606	MBP	4155	9606	no_interaction	pull_down	pull-down	As an additional control, we also examined whether endogenous glyceraldehyde 3-phosphate dehydrogenase (GAPDH) was also eluted with the recombinant proteins and found that GAPDH did not interact with either MBP or MBP-RACK1 (Fig 2B right lower panel).	We found that endogenous beta-actin bound MBP-RACK1 but not MBP (Fig 2B, right upper panel).	Together, these data demonstrate that the association of RACK1 and beta-actin is specific.	27505161	PMC4978483	Activation of the cAMP Pathway Induces RACK1-Dependent Binding of beta-Actin to BDNF Promoter	CLAIM:000228572:0-1	PAIR2:GENE:2597|GENE:4155	CLAIM:000228572	031eaeaf377dde41a69a4dfe94de7f53e37cf04d	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	0	1	0	1	0	0	141.0	other_direct_binding	P04406	P02686	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	335	304	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	642	1	1	0	0	PN6:0054:negative	0.000188
58	Cdk2	1017	9606	ACLY	47	9606	no_binding	pull_down	GST pull-down assay	A GST pull-down assay revealed cyclin E as the direct binding partner of ACLY (Figure 1C) and further demonstrated that Cdk2 does not bind directly to ACLY.	Because Cdk2 is the primary binding partner of cyclin E, we examined whether cyclin E or Cdk2 directly binds ACLY.	ACLY is phosphorylated post-translationally by multiple proteins, including cAMP-dependent protein kinase, GSK3beta, nucleoside diphosphate kinase (NDPK) and protein kinase B (Akt).	26928812	PMC4873469	Cyclin E associates with the lipogenic enzyme ATP-citrate lyase to enable malignant growth of breast cancer cells	CLAIM:000047225:0-1	PAIR2:GENE:1017|GENE:47	CLAIM:000047225	078ec58132c514dc9e595ef6601a0a61d2a98461	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	1	1	0	1	0	139.0	other_direct_binding	P24941	P53396	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	298	1101	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1402	0	1	0	0	PN6:0058:negative	0.002031
73	DET1	55070	9606	Ube2d3	7323	9606	no_binding	pull_down	pull-down	3F), explaining the specificity and why Ube2d3 did not interact with DET1 in the pull-down experiments.	These interfacial residues in Ube2e2 were identified as highly conserved among Ube2e family members, but were absent in Ube2d3 (Fig.		41540009	PMC12808801	Cryo-EM structure of the human COP1-DET1 ubiquitin ligase complex	CLAIM:000109442:0-1	PAIR2:GENE:55070|GENE:7323	CLAIM:000109442	a6d9200a54c8c761e4ce8847aaf584ac223a1611	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	133.0	other_direct_binding	Q7L5Y6	P61077	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	550	147	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	700	1	1	0	0	PN6:0073:negative	0.015469
86	PLK1	5347	9606	SNF2H	8467	9606	no_interaction	pull_down	pull-down	On pull-down experiments, we verified no interactions between PLK1 and SNF2H (Supplementary Fig.	2c).	2d).	26259146	PMC4918322	The chromatin remodeller RSF1 is essential for PLK1 deposition and function at mitotic kinetochores	CLAIM:000015101:0-1	PAIR2:GENE:5347|GENE:8467	CLAIM:000015101	4b9a25d56ce00a18a7c590c370d2f89a27a86f18	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0	other_direct_binding	P53350	O60264	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	603	1052	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1658	0	1	0	0	PN6:0086:negative	0.223078
122	Kek1	34688	7227	Fili	5740472	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036097:0-1	PAIR2:GENE:34688|GENE:5740472	CLAIM:000036097	e7d7fb10d508708007b3997a38188505db08b0e0	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0	biophysical_direct	Q9VK54	A0A6M3Q7U5	provisional_unreviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	880	789	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1672	0	0	0	0	PN6:0122:negative	0.010455
124	Ptp10D	32115	7227	Toll2	37277	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036100:0-1	PAIR2:GENE:32115|GENE:37277	CLAIM:000036100	ef66eb45c00f749ef36cee2d02044e62bae1e141	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0	biophysical_direct	P35992	A1ZBR2	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1990	1385	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	3378	0	0	0	0	PN6:0124:negative	0.008145
126	PGRN	2896	9606	AXL	558	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072660:0-1	PAIR2:GENE:2896|GENE:558	CLAIM:000072660	b23f0001bf9077647b5116c22cf6d7dc076a59e5	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0	biophysical_direct	P28799	P30530	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	593	894	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1490	0	1	0	0	PN6:0126:negative	8.1e-05
127	MERTK	10461	9606	PGRN	2896	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072659:0-1	PAIR2:GENE:10461|GENE:2896	CLAIM:000072659	45e4d71988063d39e8ea7032e241afcda1b937b4	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0	biophysical_direct	Q12866	P28799	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	999	593	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1595	0	1	0	0	PN6:0127:negative	0.000163
129	IRS1PTB	105148	10090	TRIM72	434246	10090	no_binding	SPR	SPR	Interestingly, no binding of IRS1PTB was observed with either TRIM72FL or TRIM72PRYSPRY, mapping the binding of TRIM72 primarily to the IRS1PH domain.	Therefore, we were not able to conclude the role of the other domains of TRIM72 towards IRS1PH binding.		32055715	PMC7005368	Biochemical characterization of TRIM72 E3 ligase and its interaction with the insulin receptor substrate 1	CLAIM:000155267:0-1	PAIR2:GENE:105148|GENE:434246	CLAIM:000155267	fbfc8922317af757b8576e49dab6b4e5df753e8d	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped		1	1	none_detected	1	0	0	0	1	0	122.0	biophysical_direct	Q8BU30	Q1XH17	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1262	477	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1742	0	0	0	0	PN6:0129:negative	0.000206
132	RPA3	6119	9606	NEIL1	79661	9606	no_interaction	far_western	Far Western analysis	Far Western analysis indicated that NEIL1 interacted with 70 kDa RPA1 in a dose-dependent fashion, while no interaction was observed with RPA2, RPA3 or the BSA control (Fig.	We confirmed the stable binary interaction between NEIL1 and RPA in the absence of DNA using purified recombinant proteins.	2A, left panel).	20338831	PMC2883689	RPA PHYSICALLY INTERACTS WITH THE HUMAN DNA GLYCOSYLASE NEIL1 TO REGULATE EXCISION OF OXIDATIVE DNA BASE DAMAGE IN PRIMER-TEMPLATE STRUCTURES	CLAIM:000021046:0-1	PAIR2:GENE:6119|GENE:79661	CLAIM:000021046	52d6cd671d5da194a6dc4f5564955b4f3850d10e	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	120.0	other_direct_binding	P35244	Q96FI4	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	121	390	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	514	1	1	0	0	PN6:0132:negative	0.999767
133	RPA2	6118	9606	NEIL1	79661	9606	no_interaction	far_western	Far Western analysis	Far Western analysis indicated that NEIL1 interacted with 70 kDa RPA1 in a dose-dependent fashion, while no interaction was observed with RPA2, RPA3 or the BSA control (Fig.	We confirmed the stable binary interaction between NEIL1 and RPA in the absence of DNA using purified recombinant proteins.	2A, left panel).	20338831	PMC2883689	RPA PHYSICALLY INTERACTS WITH THE HUMAN DNA GLYCOSYLASE NEIL1 TO REGULATE EXCISION OF OXIDATIVE DNA BASE DAMAGE IN PRIMER-TEMPLATE STRUCTURES	CLAIM:000021045:0-1	PAIR2:GENE:6118|GENE:79661	CLAIM:000021045	ef042476a5bbf5b8a93312c9e9c7ebf9a1626385	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	120.0	other_direct_binding	P15927	Q96FI4	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	270	390	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	663	1	1	0	0	PN6:0133:negative	0.999753
134	FH	3075	9606	C4b	721	9606	no_binding	SPR	SPR	The complement components C3b, C4b, and FH did not bind, with the presence of Mg2+ and Ca2+ (Figure 3C) buffer having no influence on the complement protein signals.	Figures 3A-C show the dose-response curves for the binding of ligands to immobilized FXIII-B.	As expected, FXIII-A showed strong binding to FXIII-B in all experiments.	35873217	PMC9301527	Exploring the function of factor XIII free B subunit: Interactions with complement factors and a novel approach to identify potential binding partners	CLAIM:000062712:0-1	PAIR2:GENE:3075|GENE:721	CLAIM:000062712	49fec652eb3dd2e61018f64cc50944fcbb1d2275	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	116.0	biophysical_direct	P08603	P0C0L5	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon_multiple_candidates	both_in_reported_taxon_mapped	1	1	1	1	1231	1744	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	2978	0	1	0	0	PN6:0134:negative	0.994297
135	AP1	3726	9606	CCDC32	90416	9606	no_interaction	pull_down	pull-down	By contrast, CCDC32 did not interact with AP1 or AP3 subunits (SI Appendix, Fig.	S2B), confirming that CCDC32 is found in the same protein complexes as AP2 alpha and sigma2 in the cell.	S7), in agreement with the observation that CCDC32 is dispensable for the formation of AP1 and AP3 adaptors (Fig.	39145939	PMC11348294	An AAGAB-to-CCDC32 handover mechanism controls the assembly of the AP2 adaptor complex	CLAIM:000143935:0-1	PAIR2:GENE:3726|GENE:90416	CLAIM:000143935	608e7d7f627994fee7baad0904a9b8c346989e59	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	113.0	other_direct_binding	P17275	Q9BV29	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	347	185	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	535	1	1	0	0	PN6:0135:negative	0.000111
142	CD14	12475	10090	Tat	6898	9606	no_interaction	pull_down	pull-down	In contrast, no interaction was observed between Tat and CD14 (Figure 2A).	The results depicted in Figure 2A show a direct interaction of Tat with TLR4-MD2 or with MD2 alone.	As control, when GST was used, no binding with TLR4-MD2 or MD2 was detected (Figure 2A).	24165011	PMC4231456	HIV-1 Tat protein binds to TLR4-MD2 and signals to induce TNF-alpha and IL-10	CLAIM:000331730:0-1	PAIR2:GENE:12475|GENE:6898	CLAIM:000331730	861f22077931093fc6df5ea2e187ebcd8582e061	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	104.0	other_direct_binding	P10810	P17735	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	366	454	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	823	1	0	0	0	PN6:0142:negative	9.6e-05
148	dynein	33319	7227	F-actin	40444	7227	no_binding	pull_down	pull-down	Conversely, the MT-binding proteins kinesin heavy chain, centrosomal protein (CP) 190, CP60, p150Glued, and dynein, as well as tubulin, do not bind significantly to the F-actin column, indicating selective binding (Fig.	1989).	1 C, lanes 2 and 3; dynein not shown).	11076973	PMC2169433	Lava Lamp, a Novel Peripheral Golgi Protein, Is Required for Drosophila melanogaster Cellularization	CLAIM:000336054:0-1	PAIR2:GENE:33319|GENE:40444	CLAIM:000336054	8ec6407eb9d0713b5d969d9f0683185e85e2af56	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	O96860	P02574	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	89	376	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	468	1	0	0	0	PN6:0148:negative	0.996266
149	p150Glued	39536	7227	F-actin	40444	7227	no_binding	pull_down	pull-down	Conversely, the MT-binding proteins kinesin heavy chain, centrosomal protein (CP) 190, CP60, p150Glued, and dynein, as well as tubulin, do not bind significantly to the F-actin column, indicating selective binding (Fig.	1989).	1 C, lanes 2 and 3; dynein not shown).	11076973	PMC2169433	Lava Lamp, a Novel Peripheral Golgi Protein, Is Required for Drosophila melanogaster Cellularization	CLAIM:000336053:0-1	PAIR2:GENE:39536|GENE:40444	CLAIM:000336053	592d834b659bc97163b728583985088c3a610b85	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P13496	P02574	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1265	376	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1644	0	0	0	0	PN6:0149:negative	0.074211
