pair_root	negative_id	sequence_no	pmid	evidence_semantics	anchor_accession	negative_partner_accession	positive_partner_accession	positive_evidence_tier	distinct_positive_publications	positive_detection_methods	negative_pair_fits_1024	positive_pair_fits_1024	both_pairs_fit_1024	exact_string_positive_overlap_negative	negative_score_id	positive_score_id
PN6P:0077	PAIR2:GENE:1499|GENE:2273	77	23341242	association_negative	P35222	Q13642	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0077:negative	PN6P:0077:positive
PN6P:0078	PAIR2:GENE:1499|GENE:2275	78	23341242	association_negative	P35222	Q13643	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0078:negative	PN6P:0078:positive
PN6P:0228	PAIR2:GENE:1499|GENE:3161	228	41083782	association_negative	P35222	O75330	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0228:negative	PN6P:0228:positive
PN6P:0031	PAIR2:GENE:15139|GENE:1628	31	22014686	other_direct_binding	Q10586	P06684	P35638	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0397""(two hybrid array)"	0	1	0	0	PN6P:0031:negative	PN6P:0031:positive
PN6P:0389	PAIR2:GENE:15216|GENE:213	389	12566415	other_direct_binding	P02768	P70387	P55899	strict_direct_interaction	3	"psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0389:negative	PN6P:0389:positive
PN6P:0246	PAIR2:GENE:15277|GENE:56717	246	25807077	association_negative	Q9JLN9	O08528	Q00899	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	0	0	0	PN6P:0246:negative	PN6P:0246:positive
PN6P:0263	PAIR2:GENE:1535|GENE:79415	263	36421765	association_negative	P13498	Q9BQA9	Q8NFA2	strict_direct_interaction	7	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	1	1	1	0	PN6P:0263:negative	PN6P:0263:positive
PN6P:0248	PAIR2:GENE:154|GENE:54583	248	21255264	association_negative	P07550	Q9GZT9	O14907	strict_direct_interaction	3	"psi-mi:""MI:2437""(holdup assay)"	1	1	1	0	PN6P:0248:negative	PN6P:0248:positive
PN6P:0156	PAIR2:GENE:15511|GENE:8991	156	8157642	other_direct_binding	Q13228	P17879	Q8TEY7	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0416""(fluorescence microscopy)"	0	0	0	0	PN6P:0156:negative	PN6P:0156:positive
PN6P:0176	PAIR2:GENE:16183|GENE:16187	176	1325134	other_direct_binding	P04351	P01586	P34902	strict_direct_interaction	1	"psi-mi:""MI:0031""(protein cross-linking with a bifunctional reagent)"	1	1	1	0	PN6P:0176:negative	PN6P:0176:positive
PN6P:0028	PAIR2:GENE:1628|GENE:7057	28	22014686	other_direct_binding	Q10586	P07996	P35638	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0397""(two hybrid array)"	0	1	0	0	PN6P:0028:negative	PN6P:0028:positive
PN6P:0366	PAIR2:GENE:164045|GENE:5500	366	22761809	other_direct_binding	P62140	A2PYH4	Q8WUF5	strict_direct_interaction	18	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:2222""(inference by socio-affinity scoring)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	0	0	0	PN6P:0366:negative	PN6P:0366:positive
PN6P:0039	PAIR2:GENE:1670|GENE:3106	39	26125554	biophysical_direct	P01889	Q01523	P61769	strict_direct_interaction	18	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	1	1	0	PN6P:0039:negative	PN6P:0039:positive
PN6P:0481	PAIR2:GENE:16825|GENE:18012	481	23193182	association_negative	P70662	Q60867	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0481:negative	PN6P:0481:positive
PN6P:0494	PAIR2:GENE:16825|GENE:18609	494	23193182	association_negative	P70662	P52946	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0494:negative	PN6P:0494:positive
PN6P:0495	PAIR2:GENE:16825|GENE:21405	495	23193182	association_negative	P70662	P22361	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	0	1	0	0	PN6P:0495:negative	PN6P:0495:positive
PN6P:0486	PAIR2:GENE:16825|GENE:378435	486	23193182	association_negative	P70662	Q8CF90	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0486:negative	PN6P:0486:positive
PN6P:0448	PAIR2:GENE:175817|GENE:179589	448	37075089	association_negative	Q21955	Q9XXM8	Q9XX00	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0448:negative	PN6P:0448:positive
PN6P:0432	PAIR2:GENE:17913|GENE:22295	432	17050716	other_direct_binding	Q99PF4	Q9WTI7	Q99PJ1	strict_direct_interaction	12	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0020""(transmission electron microscopy)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0432:negative	PN6P:0432:positive
PN6P:0285	PAIR2:GENE:18128|GENE:227325	285	38553003	association_negative	Q01705	Q8JZM4	P31266	strict_direct_interaction	11	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0285:negative	PN6P:0285:positive
PN6P:0323	PAIR2:GENE:1813|GENE:3091	323	34321238	association_negative	Q16665	P14416	P40337	strict_direct_interaction	30	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0047""(far western blotting)|psi-mi:""MI:0049""(filter binding)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0323:negative	PN6P:0323:positive
PN6P:0211	PAIR2:GENE:18390|GENE:71729	211	33332902	association_negative	Q8CGE9	P42866	Q63932	strict_direct_interaction	3	"psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	0	0	0	PN6P:0211:negative	PN6P:0211:positive
PN6P:0128	PAIR2:GENE:1843|GENE:6772	128	11278799	association_negative	P42224	P28562	P04626	strict_direct_interaction	5	"psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0813""(proximity ligation assay)"	0	0	0	0	PN6P:0128:negative	PN6P:0128:positive
PN6P:0047	PAIR2:GENE:18566|GENE:26040	47	21931534	biophysical_direct	Q02242	Q9Y6X0	Q9EP73	strict_direct_interaction	7	"psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	1	0	0	PN6P:0047:negative	PN6P:0047:positive
PN6P:0334	PAIR2:GENE:1869|GENE:8565	334	25284223	association_negative	Q01094	P54577	Q14186	strict_direct_interaction	18	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0397""(two hybrid array)|psi-mi:""MI:0096""(pull down)"	1	1	1	0	PN6P:0334:negative	PN6P:0334:positive
PN6P:0101	PAIR2:GENE:192236|GENE:89781	101	12663659	association_negative	Q9NQG7	O08983	Q92902	strict_direct_interaction	5	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0029""(cosedimentation through density gradient)|psi-mi:""MI:0028""(cosedimentation in solution)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0101:negative	PN6P:0101:positive
PN6P:0281	PAIR2:GENE:1956|GENE:5243	281	26506420	association_negative	P00533	P08183	P62993	strict_direct_interaction	52	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0405""(competition binding)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0281:negative	PN6P:0281:positive
PN6P:0067	PAIR2:GENE:1969|GENE:2535	67	30451837	association_negative	P29317	Q14332	P20827	strict_direct_interaction	12	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0067:negative	PN6P:0067:positive
PN6P:0066	PAIR2:GENE:1969|GENE:4040	66	30451837	association_negative	O75581	P29317	O94907	strict_direct_interaction	18	"psi-mi:""MI:0067""(light scattering)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0038""(dynamic light scattering)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0969""(bio-layer interferometry)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0905""(amplified luminescent proximity homogeneous assay)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0066:negative	PN6P:0066:positive
PN6P:0441	PAIR2:GENE:19876|GENE:20346	441	21508241	other_direct_binding	O08665	O89026	P97333	strict_direct_interaction	5	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0410""(3D electron microscopy)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0441:negative	PN6P:0441:positive
PN6P:0027	PAIR2:GENE:2017|GENE:5777	27	34088320	other_direct_binding	Q14247	P29350	Q9UBN7	strict_direct_interaction	9	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0416""(fluorescence microscopy)"	0	0	0	0	PN6P:0027:negative	PN6P:0027:positive
PN6P:0153	PAIR2:GENE:20617|GENE:5339	153	41279516	other_direct_binding	Q15149	O55042	P16144	strict_direct_interaction	4	"psi-mi:""MI:0051""(fluorescence technology)|psi-mi:""MI:0114""(x-ray crystallography)"	0	0	0	0	PN6P:0153:negative	PN6P:0153:positive
PN6P:0152	PAIR2:GENE:20617|GENE:55869	152	41279516	other_direct_binding	O55042	Q9BY41	P68510	strict_direct_interaction	3	"psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0152:negative	PN6P:0152:positive
PN6P:0286	PAIR2:GENE:2091|GENE:9112	286	32786109	association_negative	P22087	Q13330	Q16637	strict_direct_interaction	6	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)"	0	1	0	0	PN6P:0286:negative	PN6P:0286:positive
PN6P:0314	PAIR2:GENE:2099|GENE:4026	314	30597111	association_negative	P03372	Q93052	P38398	strict_direct_interaction	7	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	0	0	0	0	PN6P:0314:negative	PN6P:0314:positive
PN6P:0478	PAIR2:GENE:2167|GENE:4000	478	37936983	other_direct_binding	P02545	P15090	P50402	strict_direct_interaction	7	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0478:negative	PN6P:0478:positive
PN6P:0161	PAIR2:GENE:21898|GENE:56048	161	36603009	other_direct_binding	Q9QUK6	Q9JL15	Q9JHF9	strict_direct_interaction	8	"psi-mi:""MI:0404""(comigration in non denaturing gel electrophoresis)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0826""(x ray scattering)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)"	0	1	0	0	PN6P:0161:negative	PN6P:0161:positive
PN6P:0470	PAIR2:GENE:2191|GENE:4323	470	37862167	association_negative	P50281	Q12884	P51884	strict_direct_interaction	2	"psi-mi:""MI:0415""(enzymatic study)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	1	0	0	PN6P:0470:negative	PN6P:0470:positive
PN6P:0444	PAIR2:GENE:2205|GENE:58205	444	41199880	other_direct_binding	Q9WUL5	P12319	Q02242	strict_direct_interaction	3	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0444:negative	PN6P:0444:positive
PN6P:0396	PAIR2:GENE:2244|GENE:2335	396	12069579	biophysical_direct	P02751	P02675	P08648	strict_direct_interaction	12	"psi-mi:""MI:0030""(cross-linking study)|psi-mi:""MI:0054""(fluorescence-activated cell sorting)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0428""(imaging technique)"	0	0	0	0	PN6P:0396:negative	PN6P:0396:positive
PN6P:0013	PAIR2:GENE:2260|GENE:5228	13	37591843	biophysical_direct	P11362	P49763	P19174	strict_direct_interaction	16	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0424""(protein kinase assay)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	0	0	0	0	PN6P:0013:negative	PN6P:0013:positive
PN6P:0341	PAIR2:GENE:22926|GENE:4282	341	39614150	association_negative	P18850	P14174	P17861	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0081""(peptide array)"	1	1	1	0	PN6P:0341:negative	PN6P:0341:positive
PN6P:0061	PAIR2:GENE:23172|GENE:4193	61	25283148	association_negative	Q00987	Q15018	P04637	strict_direct_interaction	148	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0997""(ubiquitinase assay)|psi-mi:""MI:0017""(classical fluorescence spectroscopy)|psi-mi:""MI:0017""(classical fluorescence spectroscopy)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0402""(chromatin immunoprecipitation assay)|psi-mi:""MI:0081""(peptide array)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0084""(phage display)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0028""(cosedimentation in solution)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0071""(molecular sieving)"	1	1	1	0	PN6P:0061:negative	PN6P:0061:positive
PN6P:0115	PAIR2:GENE:23197|GENE:68350	115	29899553	association_negative	Q96CS3	Q8VCM5	P50552	strict_direct_interaction	2	"psi-mi:""MI:0084""(phage display)"	1	1	1	0	PN6P:0115:negative	PN6P:0115:positive
