sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
95	FBXW7	55294	9606	CD47	961	9606	no_binding	coIP	co-immunoprecipitation	However, co-IP results suggested that there was no binding between CD47 and FBXW7 (Figure S6K).	Therefore, we speculated that CD47 stabilized ENO1 by inhibiting its ubiquitylation mediated by FBXW7.	Furthermore, the expression of FBXW7 remained unaltered following CD47 overexpression in HCT8 and DLD1 cells (Figure S6L).	32226539	PMC7086360	Tumor-intrinsic CD47 signal regulates glycolysis and promotes colorectal cancer cell growth and metastasis	CLAIM:000274018:0-1	PAIR2:GENE:55294|GENE:961	CLAIM:000274018	b754674808781d5364fb301e7de1ae207423bb03	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0	association_negative	Q969H0	Q08722	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	707	323	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1033	0	1	0	0	PN6:0095:negative	0.00053
98	CPK6	816235	3702	OST1	829541	3702	no_interaction	Y2H	yeast two-hybrid	Y2H experiments were performed to show that OST1 and CPK6 do not interact with each other.		This negative result should be confirmed by alternative approaches.	26192964	PMC4507714	Calcium specificity signaling mechanisms in abscisic acid signal transduction in Arabidopsis guard cells	CLAIM:000234453:0-1	PAIR2:GENE:816235|GENE:829541	CLAIM:000234453	2b073e37aaa1b39acc8686e227639401e4b23e9c	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0	association_negative	Q38872	Q940H6	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	544	362	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	909	1	0	0	0	PN6:0098:negative	0.132167
100	PKCdelta	18753	10090	GLAST	20512	10090	no_interaction	coIP	co-immunoprecipitation	Furthermore, no interaction was observed between PKCalpha or PKCdelta and GLAST.	7).		22708868	PMC3399925	MECHANISM OF MN(II) - MEDIATED DYSREGULATION OF GLUTAMINE - GLUTAMATE CYCLE: FOCUS ON GLUTAMATE TURNOVER	CLAIM:000231382:0-1	PAIR2:GENE:18753|GENE:20512	CLAIM:000231382	158ceec5bab8329b4d890344b8c3e462d06e24ed	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	1	0	0	0	0	130.0	association_negative	P28867	P56564	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	674	543	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1220	0	0	0	0	PN6:0100:negative	0.000265
101	HPS1	192236	10090	HPS4	89781	9606	no_interaction	Y2H	yeast two-hybrid	HPS1 and HPS4 do not interact directly in a yeast two-hybrid system, although HPS4 interacts with itself.	HPS4 protein seems to be necessary for stabilization of HPS1, and the HPS1 and HPS4 proteins co-immunoprecipitate, indicating that they are in a complex.	In a partially purified vesicular/organellar fraction, HPS1 and HPS4 are both components of a complex with a molecular mass of approximately 500 kDa, termed BLOC-3.	12663659		The Hermansky-Pudlak syndrome 1 (HPS1) and HPS4 proteins are components of two complexes, BLOC-3 and BLOC-4, involved in the biogenesis of lysosome-related organelles.	CLAIM:000103149:0-1	PAIR2:GENE:192236|GENE:89781	CLAIM:000103149	a7662c8ce2a3a84736dd72b00cd5ef5d4436d789	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0	association_negative	O08983	Q9NQG7	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	704	708	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	1415	0	0	0	0	PN6:0101:negative	0.995751
103	eEF2	1938	9606	eIF5A	1984	9606	no_interaction	Y2H	yeast two-hybrid	A two-hybrid assay was used to test for a physical interaction between the yeast factors eIF5A and eEF2, but revealed no direct interaction.	Guided by that evidence, we investigated the functional interaction between these two translation factors.	The absence of direct physical interaction was expected since the binding sites for eIF5A and eEF2 are structurally distant in the ribosome.	27115996	PMC4845985	Evidence for a Negative Cooperativity between eIF5A and eEF2 on Binding to the Ribosome	CLAIM:000201650:0-1	PAIR2:GENE:1938|GENE:1984	CLAIM:000201650	433686f4f475d7b65299360ee2d21344e8797054	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0	association_negative	P13639	P63241	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	858	154	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1015	1	1	0	0	PN6:0103:negative	0.999892
104	PKP3	11187	9606	eIF4A1	1973	9606	no_interaction	Y2H	yeast two-hybrid	Because PKP3 did not interact with eIF4A1 in our yeast two-hybrid assay, the mechanism of its function in translation may differ from that of PKP1.	4 B).	In coimmunoprecipitation assays, PKP3 was reported to complex with poly(A)-binding protein, a component of the initiation complex which stimulates eIF4F activity.	20156963	PMC2828926	Plakophilin 1 stimulates translation by promoting eIF4A1 activity	CLAIM:000123151:0-1	PAIR2:GENE:11187|GENE:1973	CLAIM:000123151	97094fa163f90a463ed693cbddb036dac846ea91	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0	association_negative	Q9Y446	P60842	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	797	406	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1206	0	1	0	0	PN6:0104:negative	0.555008
106	FCA	827323	3702	DCP5	839152	3702	no_interaction	Y2H	yeast two-hybrid	In contrast to our expectation, FCA failed to interact with SSF or DCP5 in yeast or in Arabidopsis protoplasts (Supplemental Fig.	Accordingly, we tested the DCP5-FCA interaction by performing Y2H and BiFC assays.	S2).	37220754	PMC10473201	The P-body component DECAPPING5 and the floral repressor SISTER OF FCA regulate FLOWERING LOCUS C transcription in Arabidopsis	CLAIM:000281301:0-1	PAIR2:GENE:827323|GENE:839152	CLAIM:000281301	c5daec2bd7ccf12894a0b70ddda09ca3881de215	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0	association_negative	O04425	Q9C658	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	747	611	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1361	0	0	0	0	PN6:0106:negative	0.976298
107	Gas1	14451	10090	Ptch1	19206	10090	no_interaction	coIP	co-immunoprecipitation	Co-IP data demonstrated that Gas1 does not interact with Ptch1 although Shh remains bound to Gas1 (Fig.		7a), thus Gas1/Shh explicitly interacts with Ptch2 even in the presence of Ptch1 and does not compete with Boc/Shh for Ptch1 binding.	32332736	PMC7181751	Ptch2/Gas1 and Ptch1/Boc differentially regulate Hedgehog signalling in murine primordial germ cell migration	CLAIM:000224097:0-1	PAIR2:GENE:14451|GENE:19206	CLAIM:000224097	345a557b9824c4bd4a70c3b6921a168e25014f8f	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q01721	Q61115	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	343	1434	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1780	0	0	0	0	PN6:0107:negative	0.000123
108	KAT2A	2648	9606	HBx	944566	10407	no_interaction	coIP	unknown	However, no interaction between KAT2A and HBx was observed (Supplementary Figure 4A).	The Co-IP results showed that ectopically expressed KAT2A interacted with HBc (Figure 5A).	In addition, HBc was mainly located in the nucleus and partially colocalised with KAT2A in HBV infected HepG2-NTCP cells (Figure 4A).	35140694	PMC8818952	KAT2A Promotes Hepatitis B Virus Transcription and Replication Through Epigenetic Regulation of cccDNA Minichromosome	CLAIM:000338366:0-1	PAIR2:GENE:2648|GENE:944566	CLAIM:000338366	3a1d940e659e60a5b31b5fcddfc55cd8cf1c3e05	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q92830	Q2F514	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	837	154	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	994	1	0	0	0	PN6:0108:negative	0.990501
109	HIF-1alpha	3091	9606	MCM4	4173	9606	no_interaction	coIP	co-immunoprecipitation	In co-IP assays MCM2 and MCM5 were also found to interact with HIF-1alpha, whereas no interaction with MCM4 or MCM6 was detected (Figure 5A).	We examined whether other MCM proteins regulate HIF-1.	Overexpression of MCM2 and MCM5, but not MCM4 or MCM6, inhibited HIF transcriptional activity induced by hypoxia (Figure 5B) or HIF-2alpha overexpression (Figure 5C).	21658608	PMC3131976	MCM Proteins Are Negative Regulators of Hypoxia-Inducible Factor 1	CLAIM:000066015:0-1	PAIR2:GENE:3091|GENE:4173	CLAIM:000066015	f0a0b56bc842468f3c2c9dc809e2c33fa85c1e05	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q16665	P33991	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	826	863	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1692	0	1	0	0	PN6:0109:negative	0.000858
111	ACE2	59272	9606	FXR	9971	9606	no_interaction	coIP	Co-IP	Co-IP results showed no interaction between FXR and ACE2 proteins, suggesting that PEBL's antiviral effects do not involve direct inhibition of their binding (Fig.	FXR antibodies were used to pull down the complex, with ACE2 overexpression alone and a carrier as controls.	6I).	40324631	PMC12869212	PEBL, a component-based Chinese medicine, reduces virus-induced acute lung injury by targeting FXR to decrease ACE2 levels	CLAIM:000315564:0-1	PAIR2:GENE:59272|GENE:9971	CLAIM:000315564	594197d102eea8066d14effbb98c50c20eb2ec30	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q9BYF1	Q96RI1	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	805	486	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1294	0	1	0	0	PN6:0111:negative	0.003459
113	ABHD17C	58489	9606	DCAF10	79269	9606	no_interaction	coIP	co-immunoprecipitation	I) IP assay results showing no interaction between ABHD17C and DCAF10.	Recombinant DCAF10 and ABHD17C were used as controls.	Silencing ABHD17C reduced ALOX15B-DCAF10 interactions (left), whereas downregulating DCAF10 did not affect ALOX15B-ABHD17C interactions (right).	40569151	PMC12463027	KRAS/ABHD17C/ALOX15B Axis Promotes Pancreatic Cancer Progression via Ferroptosis Evasion	CLAIM:000211771:0-1	PAIR2:GENE:58489|GENE:79269	CLAIM:000211771	bb9a7eac21b5a8b703977c11033b58a404538328	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q6PCB6	Q5QP82	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	329	559	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	891	1	1	0	0	PN6:0113:negative	0.001876
115	UBXN3B	23197	9606	MUL1	68350	10090	no_interaction	coIP	unknown	We however observed no interaction between MUL1 and UBXN3B.	We performed co-immunoprecipitation with MUL1 and UBXN3B overexpression in HEK293 cells to see if UBXN3B also regulated MUL1-STING interaction.	These data suggest that UBXN3B specifically regulates STING-TRIM56 interaction.	29899553	PMC5998066	UBXN3B positively regulates STING-mediated antiviral immune responses	CLAIM:000156357:0-1	PAIR2:GENE:23197|GENE:68350	CLAIM:000156357	0b0ab19c9cb7f4d25dea38b9167aca2f9df64805	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q96CS3	Q8VCM5	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	445	352	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	800	1	0	0	0	PN6:0115:negative	0.999147
118	HIF-1alpha	3091	9606	MCM6	4175	9606	no_interaction	coIP	co-immunoprecipitation	In co-IP assays MCM2 and MCM5 were also found to interact with HIF-1alpha, whereas no interaction with MCM4 or MCM6 was detected (Figure 5A).	We examined whether other MCM proteins regulate HIF-1.	Overexpression of MCM2 and MCM5, but not MCM4 or MCM6, inhibited HIF transcriptional activity induced by hypoxia (Figure 5B) or HIF-2alpha overexpression (Figure 5C).	21658608	PMC3131976	MCM Proteins Are Negative Regulators of Hypoxia-Inducible Factor 1	CLAIM:000066016:0-1	PAIR2:GENE:3091|GENE:4175	CLAIM:000066016	a9a0f09e43426c3c6acab4cb24f99cb0a37774aa	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	Q16665	Q14566	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	826	821	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1650	0	1	0	0	PN6:0118:negative	0.000351
120	JAK2	3717	9606	GP73	51280	9606	no_interaction	coIP	co-immunoprecipitation	Interestingly, the co-immunoprecipitation (co-IP) experiment showed no interaction between GP73 and JAK2 (Fig.		5A and Fig.	38939041	PMC11208919	Integrating Single-Cell and Spatial Transcriptomics to Uncover and Elucidate GP73-Mediated Pro-Angiogenic Regulatory Networks in Hepatocellular Carcinoma	CLAIM:000198938:0-1	PAIR2:GENE:3717|GENE:51280	CLAIM:000198938	4b69d8d8e4007304536227a27aa15e62d7b0c59e	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0	association_negative	O60674	Q8NBJ4	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	1132	401	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1536	0	1	0	0	PN6:0120:negative	5.5e-05
122	Kek1	34688	7227	Fili	5740472	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036097:0-1	PAIR2:GENE:34688|GENE:5740472	CLAIM:000036097	e7d7fb10d508708007b3997a38188505db08b0e0	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0	biophysical_direct	Q9VK54	A0A6M3Q7U5	provisional_unreviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	880	789	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1672	0	0	0	0	PN6:0122:negative	0.010455
124	Ptp10D	32115	7227	Toll2	37277	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036100:0-1	PAIR2:GENE:32115|GENE:37277	CLAIM:000036100	ef66eb45c00f749ef36cee2d02044e62bae1e141	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0	biophysical_direct	P35992	A1ZBR2	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1990	1385	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	3378	0	0	0	0	PN6:0124:negative	0.008145
126	PGRN	2896	9606	AXL	558	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072660:0-1	PAIR2:GENE:2896|GENE:558	CLAIM:000072660	b23f0001bf9077647b5116c22cf6d7dc076a59e5	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0	biophysical_direct	P28799	P30530	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	593	894	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1490	0	1	0	0	PN6:0126:negative	8.1e-05
127	MERTK	10461	9606	PGRN	2896	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072659:0-1	PAIR2:GENE:10461|GENE:2896	CLAIM:000072659	45e4d71988063d39e8ea7032e241afcda1b937b4	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0	biophysical_direct	Q12866	P28799	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	999	593	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1595	0	1	0	0	PN6:0127:negative	0.000163
128	DUSP1	1843	9606	STAT1	6772	9606	no_interaction	Y2H	yeast two-hybrid	In contrast, MKP-1 does not interact with STAT1.	Furthermore, this binding is accompanied by catalytic activation of recombinant MKP-1 protein in vitro, and these end points show an absolute correlation with MKP-1 substrate selectivity in vivo.	Recombinant STAT1 does not cause catalytic activation of MKP-1; nor does MKP-1 block tyrosine phosphorylation of STAT1 in vivo.	11278799		Distinct binding determinants for ERK2/p38alpha and JNK map kinases mediate catalytic activation and substrate selectivity of map kinase phosphatase-1.	CLAIM:000241453:0-1	PAIR2:GENE:1843|GENE:6772	CLAIM:000241453	d0861cd980180f339bfba2f24b993e9ff20c4e19	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	1	0	0	0	0	123.0	association_negative	P28562	P42224	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	367	750	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1120	0	1	0	0	PN6:0128:negative	0.000556
129	IRS1PTB	105148	10090	TRIM72	434246	10090	no_binding	SPR	SPR	Interestingly, no binding of IRS1PTB was observed with either TRIM72FL or TRIM72PRYSPRY, mapping the binding of TRIM72 primarily to the IRS1PH domain.	Therefore, we were not able to conclude the role of the other domains of TRIM72 towards IRS1PH binding.		32055715	PMC7005368	Biochemical characterization of TRIM72 E3 ligase and its interaction with the insulin receptor substrate 1	CLAIM:000155267:0-1	PAIR2:GENE:105148|GENE:434246	CLAIM:000155267	fbfc8922317af757b8576e49dab6b4e5df753e8d	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped		1	1	none_detected	1	0	0	0	1	0	122.0	biophysical_direct	Q8BU30	Q1XH17	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1262	477	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1742	0	0	0	0	PN6:0129:negative	0.000206
