pair_root	negative_id	sequence_no	pmid	evidence_semantics	anchor_accession	negative_partner_accession	positive_partner_accession	positive_evidence_tier	distinct_positive_publications	positive_detection_methods	negative_pair_fits_1024	positive_pair_fits_1024	both_pairs_fit_1024	exact_string_positive_overlap_negative	negative_score_id	positive_score_id	negative_score	positive_score	margin	positive_wins
PN6P:0003	PAIR2:GENE:140858|GENE:15182	3	28959017	other_direct_binding	P70288	P61965	Q62233	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	1	1	1	0	PN6P:0003:negative	PN6P:0003:positive	0.999413	0.864881	-0.13453199999999998	0
PN6P:0004	PAIR2:GENE:140858|GENE:433759	4	28959017	other_direct_binding	O09106	P61965	P27699	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)"	1	1	1	0	PN6P:0004:negative	PN6P:0004:positive	0.999708	0.999715	6.999999999979245e-06	1
PN6P:0009	PAIR2:GENE:143384|GENE:79047	9	25974686	biophysical_direct	Q86Y37	Q96SI1	P03372	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0416""(fluorescence microscopy)"	1	1	1	0	PN6P:0009:negative	PN6P:0009:positive	7.2e-05	0.275433	0.27536099999999997	1
PN6P:0279	PAIR2:GENE:14433|GENE:22601	279	28857442	association_negative	P46938	P16858	P97474	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	1	1	0	PN6P:0279:negative	PN6P:0279:positive	0.938394	0.01598	-0.922414	0
PN6P:0107	PAIR2:GENE:14451|GENE:19206	107	32332736	association_negative	Q01721	Q61115	Q62226	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)"	0	1	0	0	PN6P:0107:negative	PN6P:0107:positive	0.000123	6e-05	-6.300000000000001e-05	0
PN6P:0077	PAIR2:GENE:1499|GENE:2273	77	23341242	association_negative	P35222	Q13642	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0077:negative	PN6P:0077:positive	0.060583	0.995071	0.934488	1
PN6P:0078	PAIR2:GENE:1499|GENE:2275	78	23341242	association_negative	P35222	Q13643	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0078:negative	PN6P:0078:positive	0.956202	0.995071	0.03886900000000004	1
PN6P:0228	PAIR2:GENE:1499|GENE:3161	228	41083782	association_negative	P35222	O75330	Q9NQB0	strict_direct_interaction	34	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0228:negative	PN6P:0228:positive	0.995224	0.995071	-0.00015299999999995872	0
PN6P:0031	PAIR2:GENE:15139|GENE:1628	31	22014686	other_direct_binding	Q10586	P06684	P35638	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0397""(two hybrid array)"	0	1	0	0	PN6P:0031:negative	PN6P:0031:positive	5.6e-05	0.999275	0.9992190000000001	1
PN6P:0389	PAIR2:GENE:15216|GENE:213	389	12566415	other_direct_binding	P02768	P70387	P55899	strict_direct_interaction	3	"psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0389:negative	PN6P:0389:positive	0.031976	0.003892	-0.028083999999999998	0
PN6P:0246	PAIR2:GENE:15277|GENE:56717	246	25807077	association_negative	Q9JLN9	O08528	Q00899	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	0	0	0	PN6P:0246:negative	PN6P:0246:positive	0.00057	0.005876	0.005306	1
PN6P:0263	PAIR2:GENE:1535|GENE:79415	263	36421765	association_negative	P13498	Q9BQA9	Q8NFA2	strict_direct_interaction	7	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	1	1	1	0	PN6P:0263:negative	PN6P:0263:positive	0.01177	0.9995	0.9877300000000001	1
PN6P:0248	PAIR2:GENE:154|GENE:54583	248	21255264	association_negative	P07550	Q9GZT9	O14907	strict_direct_interaction	3	"psi-mi:""MI:2437""(holdup assay)"	1	1	1	0	PN6P:0248:negative	PN6P:0248:positive	0.000347	0.181918	0.181571	1
PN6P:0156	PAIR2:GENE:15511|GENE:8991	156	8157642	other_direct_binding	Q13228	P17879	Q8TEY7	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0416""(fluorescence microscopy)"	0	0	0	0	PN6P:0156:negative	PN6P:0156:positive	0.046083	0.000692	-0.045391	0
PN6P:0176	PAIR2:GENE:16183|GENE:16187	176	1325134	other_direct_binding	P04351	P01586	P34902	strict_direct_interaction	1	"psi-mi:""MI:0031""(protein cross-linking with a bifunctional reagent)"	1	1	1	0	PN6P:0176:negative	PN6P:0176:positive	0.000761	0.999532	0.998771	1
PN6P:0028	PAIR2:GENE:1628|GENE:7057	28	22014686	other_direct_binding	Q10586	P07996	P35638	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0397""(two hybrid array)"	0	1	0	0	PN6P:0028:negative	PN6P:0028:positive	6.8e-05	0.999275	0.9992070000000001	1
PN6P:0366	PAIR2:GENE:164045|GENE:5500	366	22761809	other_direct_binding	P62140	A2PYH4	Q8WUF5	strict_direct_interaction	18	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:2222""(inference by socio-affinity scoring)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	0	0	0	PN6P:0366:negative	PN6P:0366:positive	0.001743	0.9974	0.9956569999999999	1
PN6P:0039	PAIR2:GENE:1670|GENE:3106	39	26125554	biophysical_direct	P01889	Q01523	P61769	strict_direct_interaction	18	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	1	1	0	PN6P:0039:negative	PN6P:0039:positive	0.006281	0.999848	0.993567	1
PN6P:0481	PAIR2:GENE:16825|GENE:18012	481	23193182	association_negative	P70662	Q60867	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0481:negative	PN6P:0481:positive	0.995239	0.938201	-0.05703800000000003	0
PN6P:0494	PAIR2:GENE:16825|GENE:18609	494	23193182	association_negative	P70662	P52946	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0494:negative	PN6P:0494:positive	0.998842	0.938201	-0.060641000000000056	0
PN6P:0495	PAIR2:GENE:16825|GENE:21405	495	23193182	association_negative	P70662	P22361	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	0	1	0	0	PN6P:0495:negative	PN6P:0495:positive	0.994803	0.938201	-0.05660200000000004	0
PN6P:0486	PAIR2:GENE:16825|GENE:378435	486	23193182	association_negative	P70662	Q8CF90	P50481	strict_direct_interaction	4	"psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0018""(two hybrid)"	1	1	1	0	PN6P:0486:negative	PN6P:0486:positive	0.001252	0.938201	0.9369489999999999	1
PN6P:0448	PAIR2:GENE:175817|GENE:179589	448	37075089	association_negative	Q21955	Q9XXM8	Q9XX00	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0448:negative	PN6P:0448:positive	0.981727	0.000546	-0.981181	0
PN6P:0432	PAIR2:GENE:17913|GENE:22295	432	17050716	other_direct_binding	Q99PF4	Q9WTI7	Q99PJ1	strict_direct_interaction	12	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0020""(transmission electron microscopy)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0432:negative	PN6P:0432:positive	0.000716	0.97048	0.969764	1
PN6P:0285	PAIR2:GENE:18128|GENE:227325	285	38553003	association_negative	Q01705	Q8JZM4	P31266	strict_direct_interaction	11	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0285:negative	PN6P:0285:positive	0.807061	6.6e-05	-0.806995	0
PN6P:0323	PAIR2:GENE:1813|GENE:3091	323	34321238	association_negative	Q16665	P14416	P40337	strict_direct_interaction	30	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0047""(far western blotting)|psi-mi:""MI:0049""(filter binding)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0323:negative	PN6P:0323:positive	0.000375	0.999241	0.998866	1
PN6P:0211	PAIR2:GENE:18390|GENE:71729	211	33332902	association_negative	Q8CGE9	P42866	Q63932	strict_direct_interaction	3	"psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	0	0	0	PN6P:0211:negative	PN6P:0211:positive	9.3e-05	9.8e-05	4.9999999999999996e-06	1
PN6P:0128	PAIR2:GENE:1843|GENE:6772	128	11278799	association_negative	P42224	P28562	P04626	strict_direct_interaction	5	"psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0813""(proximity ligation assay)"	0	0	0	0	PN6P:0128:negative	PN6P:0128:positive	0.000372	0.00089	0.000518	1
PN6P:0047	PAIR2:GENE:18566|GENE:26040	47	21931534	biophysical_direct	Q02242	Q9Y6X0	Q9EP73	strict_direct_interaction	7	"psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	1	0	0	PN6P:0047:negative	PN6P:0047:positive	5.1e-05	0.999511	0.99946	1
PN6P:0334	PAIR2:GENE:1869|GENE:8565	334	25284223	association_negative	Q01094	P54577	Q14186	strict_direct_interaction	18	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0397""(two hybrid array)|psi-mi:""MI:0096""(pull down)"	1	1	1	0	PN6P:0334:negative	PN6P:0334:positive	5.5e-05	0.999879	0.9998239999999999	1
PN6P:0101	PAIR2:GENE:192236|GENE:89781	101	12663659	association_negative	Q9NQG7	O08983	Q92902	strict_direct_interaction	5	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0029""(cosedimentation through density gradient)|psi-mi:""MI:0028""(cosedimentation in solution)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0101:negative	PN6P:0101:positive	0.996672	0.996954	0.00028200000000000447	1
PN6P:0281	PAIR2:GENE:1956|GENE:5243	281	26506420	association_negative	P00533	P08183	P62993	strict_direct_interaction	52	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0405""(competition binding)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0281:negative	PN6P:0281:positive	0.410644	0.999912	0.589268	1
PN6P:0067	PAIR2:GENE:1969|GENE:2535	67	30451837	association_negative	P29317	Q14332	P20827	strict_direct_interaction	12	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0067:negative	PN6P:0067:positive	0.001096	0.082848	0.081752	1
PN6P:0066	PAIR2:GENE:1969|GENE:4040	66	30451837	association_negative	O75581	P29317	O94907	strict_direct_interaction	18	"psi-mi:""MI:0067""(light scattering)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0038""(dynamic light scattering)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0969""(bio-layer interferometry)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0905""(amplified luminescent proximity homogeneous assay)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0066:negative	PN6P:0066:positive	0.991427	0.073708	-0.917719	0
PN6P:0441	PAIR2:GENE:19876|GENE:20346	441	21508241	other_direct_binding	O08665	O89026	P97333	strict_direct_interaction	5	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0410""(3D electron microscopy)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0441:negative	PN6P:0441:positive	0.000501	0.018612	0.018111	1
PN6P:0027	PAIR2:GENE:2017|GENE:5777	27	34088320	other_direct_binding	Q14247	P29350	Q9UBN7	strict_direct_interaction	9	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0416""(fluorescence microscopy)"	0	0	0	0	PN6P:0027:negative	PN6P:0027:positive	0.998906	0.035836	-0.96307	0
PN6P:0153	PAIR2:GENE:20617|GENE:5339	153	41279516	other_direct_binding	Q15149	O55042	P16144	strict_direct_interaction	4	"psi-mi:""MI:0051""(fluorescence technology)|psi-mi:""MI:0114""(x-ray crystallography)"	0	0	0	0	PN6P:0153:negative	PN6P:0153:positive	7.5e-05	5.8e-05	-1.6999999999999993e-05	0
PN6P:0152	PAIR2:GENE:20617|GENE:55869	152	41279516	other_direct_binding	O55042	Q9BY41	P68510	strict_direct_interaction	3	"psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0152:negative	PN6P:0152:positive	0.00748	0.99689	0.98941	1
PN6P:0286	PAIR2:GENE:2091|GENE:9112	286	32786109	association_negative	P22087	Q13330	Q16637	strict_direct_interaction	6	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)"	0	1	0	0	PN6P:0286:negative	PN6P:0286:positive	0.071026	0.686995	0.615969	1
PN6P:0314	PAIR2:GENE:2099|GENE:4026	314	30597111	association_negative	P03372	Q93052	P38398	strict_direct_interaction	7	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	0	0	0	0	PN6P:0314:negative	PN6P:0314:positive	0.997251	0.990466	-0.006785000000000041	0
PN6P:0478	PAIR2:GENE:2167|GENE:4000	478	37936983	other_direct_binding	P02545	P15090	P50402	strict_direct_interaction	7	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0478:negative	PN6P:0478:positive	0.000699	0.999779	0.99908	1
PN6P:0161	PAIR2:GENE:21898|GENE:56048	161	36603009	other_direct_binding	Q9QUK6	Q9JL15	Q9JHF9	strict_direct_interaction	8	"psi-mi:""MI:0404""(comigration in non denaturing gel electrophoresis)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0826""(x ray scattering)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)"	0	1	0	0	PN6P:0161:negative	PN6P:0161:positive	0.586406	0.99985	0.41344400000000003	1
PN6P:0470	PAIR2:GENE:2191|GENE:4323	470	37862167	association_negative	P50281	Q12884	P51884	strict_direct_interaction	2	"psi-mi:""MI:0415""(enzymatic study)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	1	0	0	PN6P:0470:negative	PN6P:0470:positive	0.002809	0.994069	0.99126	1
PN6P:0444	PAIR2:GENE:2205|GENE:58205	444	41199880	other_direct_binding	Q9WUL5	P12319	Q02242	strict_direct_interaction	3	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0107""(surface plasmon resonance)"	1	1	1	0	PN6P:0444:negative	PN6P:0444:positive	0.988075	0.998349	0.010274000000000005	1
PN6P:0396	PAIR2:GENE:2244|GENE:2335	396	12069579	biophysical_direct	P02751	P02675	P08648	strict_direct_interaction	12	"psi-mi:""MI:0030""(cross-linking study)|psi-mi:""MI:0054""(fluorescence-activated cell sorting)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0428""(imaging technique)"	0	0	0	0	PN6P:0396:negative	PN6P:0396:positive	0.999099	0.481862	-0.517237	0
PN6P:0013	PAIR2:GENE:2260|GENE:5228	13	37591843	biophysical_direct	P11362	P49763	P19174	strict_direct_interaction	16	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0424""(protein kinase assay)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	0	0	0	0	PN6P:0013:negative	PN6P:0013:positive	0.768964	0.003394	-0.76557	0
PN6P:0341	PAIR2:GENE:22926|GENE:4282	341	39614150	association_negative	P18850	P14174	P17861	strict_direct_interaction	4	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0081""(peptide array)"	1	1	1	0	PN6P:0341:negative	PN6P:0341:positive	0.000257	0.990995	0.990738	1
